,fraud_bool,income,name_email_similarity,prev_address_months_count,current_address_months_count,customer_age,days_since_request,intended_balcon_amount,payment_type,zip_count_4w,velocity_6h,velocity_24h,velocity_4w,bank_branch_count_8w,date_of_birth_distinct_emails_4w,employment_status,credit_risk_score,email_is_free,housing_status,phone_home_valid,phone_mobile_valid,bank_months_count,has_other_cards,proposed_credit_limit,foreign_request,source,session_length_in_minutes,device_os,keep_alive_session,device_distinct_emails_8w,device_fraud_count,month
1283,1,0.7000000000000001,0.134510214348504,-1,96,30,0.0101017492741072,-0.9324867829021152,AB,1872,4450.932096703476,3958.520633783004,5922.426423113676,11,10,CB,83,1,BB,1,1,30,0,200.0,0,INTERNET,35.23957612304894,windows,1,1,0,0
1294,1,0.9,0.67366292886167,-1,47,50,1.2093117489689311,99.27507210060034,AA,2468,5770.602711036005,3571.838899907582,4234.789151147783,2,12,CA,78,1,BA,0,1,28,0,200.0,0,INTERNET,3.3034728907407294,windows,1,1,0,5
1305,1,0.9,0.1535669287681131,-1,106,40,0.0145389568339373,-1.4170515309401015,AB,698,1319.2210258281666,3142.354474921593,4234.459924294525,2,8,CB,207,1,BC,0,1,20,1,1500.0,0,INTERNET,1.4622326471246136,other,1,1,0,5
1317,1,0.9,0.2364786497192045,52,9,20,0.015463552549859,-0.7970657279704638,AB,1594,672.5732202849478,4550.611483409743,5094.821652747749,92,18,CC,147,1,BA,0,1,20,0,500.0,0,INTERNET,4.661122277709928,windows,1,1,0,2
1387,1,0.8,0.2101758048492184,-1,246,50,0.0169677541708427,-1.473605997651794,AB,1950,6816.856212089309,5934.603649430437,4191.863735928651,249,1,CA,230,1,BA,1,1,9,0,500.0,1,INTERNET,12.041728212010437,windows,0,1,0,5
1678,1,0.8,0.8596740264838469,-1,157,50,0.0052749512568313,-0.8196025672399382,AB,505,2274.487214791997,5610.370962696903,4954.563473500757,10,5,CA,327,0,BA,1,1,31,0,1500.0,0,INTERNET,2.1863911388274566,windows,1,1,0,3
1709,1,0.9,0.6121598531659466,-1,147,20,0.0166916177828354,-0.5533565424086047,AB,1114,3176.1317875632867,1724.9141737635227,3104.57204811724,4,10,CA,99,1,BB,1,1,28,0,200.0,0,INTERNET,8.061648727794031,other,1,1,0,7
1785,1,0.9,0.3886341613544395,-1,87,50,0.0225101305478889,-1.0399092128147849,AB,521,5493.55157226259,3117.870433066475,4178.3346278014615,1454,7,CA,88,1,BA,1,1,1,0,200.0,0,INTERNET,3.833224902386378,windows,1,1,0,5
1877,1,0.9,0.7695530775228091,-1,132,50,0.0298108600830573,-0.715784104593668,AB,1227,2389.741533948067,2804.58561093093,3730.389807762649,1654,3,CA,272,0,BA,1,1,1,0,1500.0,0,INTERNET,2.105170095912245,windows,0,1,0,4
1918,1,0.1,0.9299283967452654,-1,121,20,0.0001562407546521,-1.3787013880935812,AB,685,1746.525775896885,2576.289147980321,3166.1678498550787,14,5,CA,131,0,BB,0,1,1,0,200.0,0,INTERNET,3.2346360981222384,windows,1,1,0,7
1957,1,0.2,0.9396670217614348,-1,66,40,0.0119566810510755,-0.6866049072840963,AB,760,1041.5755899793007,2927.781247455473,3857.262225663116,11,7,CA,244,1,BE,0,1,28,0,1500.0,0,INTERNET,9.591103274468765,windows,0,1,0,6
2098,1,0.9,0.8137569105729988,-1,357,40,0.0014879058888791,-1.212206067988197,AC,3515,6055.100170213383,4385.496986519564,6453.351598228272,0,11,CA,272,1,BC,0,1,-1,0,200.0,0,INTERNET,4.120367675192651,linux,1,1,0,0
2191,1,0.9,0.4781194527775916,-1,332,60,0.0191293283777816,-0.3826477390666504,AB,793,5970.096302108411,8436.234767376007,5942.5423100789685,840,2,CC,305,1,BB,0,0,5,0,1500.0,0,INTERNET,4.819000067503993,windows,1,1,0,1
2202,1,0.4,0.2268945635288165,-1,105,40,0.0118531939701201,-1.150274792078298,AB,1457,3038.683723183825,5121.452205216448,4229.345386704492,9,5,CA,92,1,BB,0,1,28,0,200.0,0,INTERNET,1.8697981047718988,windows,0,1,0,5
2301,1,0.2,0.5618090535103055,-1,63,40,0.025278498279555,-1.1830424360788303,AC,1022,4215.565876913195,3823.921308003336,4309.719527368174,0,7,CA,165,1,BA,0,1,-1,0,500.0,0,INTERNET,1.9854202087489208,windows,0,1,0,6
2417,1,0.8,0.0075566775986993,-1,129,40,0.0213726804742476,-1.4731152561069485,AC,1221,1952.4173841199768,4923.997497582318,4137.899462584187,0,7,CA,192,0,BA,1,0,-1,1,200.0,0,INTERNET,1.0581744758638247,windows,0,1,0,5
2423,1,0.8,0.0781104008561011,-1,60,30,0.0333107713830623,-1.330427579816814,AC,1347,4302.559094953806,3833.7406300845655,4189.452187458907,0,6,CA,51,1,BB,0,1,-1,0,200.0,0,INTERNET,9.029356043484754,windows,1,1,0,6
2438,1,0.7000000000000001,0.5026633889893284,-1,157,20,0.0257863664424567,-1.5447918957317108,AD,1846,9548.072009771247,7970.498735140276,5525.881481129964,5,19,CB,51,0,BE,0,1,15,0,1500.0,0,INTERNET,6.378343843893324,other,1,1,0,0
2449,1,0.9,0.6115531528304505,-1,162,50,0.0101733396778831,-0.3097322325423215,AC,839,1369.459700076725,2766.3425902395843,3120.6220778089587,0,6,CA,220,1,BA,0,1,-1,0,200.0,0,INTERNET,3.531938990715582,windows,0,1,0,7
2514,1,0.9,0.670739191073263,-1,78,30,0.0003005015854435,-1.654080907369361,AB,515,6211.9900879996885,2970.633433854788,4443.294825518336,44,9,CA,161,1,BB,0,1,10,0,500.0,0,INTERNET,0.5482400851217065,other,0,1,0,5
2526,1,0.6000000000000001,0.5247348156265115,-1,96,30,10.22855493821812,37.40872901276737,AA,2779,2766.274612350925,5830.386808194178,5295.694330054236,3,12,CA,49,1,BC,0,1,2,0,200.0,0,INTERNET,5.082707686111249,windows,1,1,0,1
2737,1,0.9,0.0699561618843371,-1,104,50,0.0304970877756427,-0.8079616874132471,AD,1251,5907.571804341862,4017.452189814092,5156.800977583438,322,9,CA,228,0,BA,1,1,31,0,2000.0,0,INTERNET,13.43200747273386,windows,0,1,0,2
2937,1,0.9,0.3345729751260215,-1,192,40,0.0002785535059781,-0.7006655848990762,AC,1113,5530.569537075168,4442.852039198797,5099.351051218644,2,2,CA,362,1,BA,1,1,-1,0,1500.0,0,INTERNET,1.1525405637081751,windows,0,1,0,3
2951,1,0.4,0.7403476921767048,-1,80,30,0.0192219370156519,13.030021498128358,AA,1425,8313.553792503993,7471.6257637393555,6228.1745614464135,2,10,CB,99,1,BC,0,1,20,0,200.0,0,INTERNET,7.388873238212549,linux,1,1,0,0
2985,1,0.6000000000000001,0.1787001050455153,-1,2,60,0.0031015960343105,-1.0125504095105238,AB,604,4463.644778384937,4146.36685952096,4285.51288798535,16,1,CC,115,1,BC,0,1,15,0,500.0,0,INTERNET,17.316649661689333,windows,0,1,0,5
3282,1,0.9,0.0673479230380042,-1,47,30,0.0125289080136926,-0.5340379644950426,AC,702,739.8520931927072,2661.279839107353,3152.978918563584,1,5,CA,149,0,BB,1,0,-1,0,200.0,0,INTERNET,1.5565240302698706,linux,1,1,0,7
3378,1,0.6000000000000001,0.2208205821611025,-1,60,40,0.0137551266820555,-0.7525730904686968,AC,4111,5712.715462473712,6489.6374041299205,4693.554699402607,0,5,CA,112,1,BA,1,0,-1,0,200.0,0,INTERNET,2.015125889919096,windows,0,2,0,0
3394,1,0.1,0.3851184379823641,-1,98,40,0.0087039883623047,-0.891739534805402,AC,1386,3505.8715881488874,3107.752306843565,5227.877247029235,1,10,CA,106,0,BA,0,1,-1,0,200.0,0,INTERNET,6.724311101736832,linux,0,1,0,2
3431,1,0.5,0.1612002924831438,-1,34,30,16.034738508545782,13.654705573823255,AA,2939,10105.873651895718,4197.665783595692,5289.344674418193,12,12,CA,8,1,BA,1,0,31,0,200.0,0,INTERNET,1.6073605017400514,other,0,1,0,1
3442,1,0.9,0.2064471888982987,-1,247,20,0.0265466561976206,-0.496794769259955,AB,2839,6463.7710700385815,4708.719928585841,4464.283408958871,0,9,CA,321,1,BA,0,1,1,1,1500.0,0,INTERNET,0.5666190508575046,linux,0,1,0,4
3591,1,0.1,0.1501828226335898,-1,247,30,0.0116121835469587,-0.9367147893630668,AC,927,13692.003239843463,6605.5981556306615,3081.6387349325896,0,12,CA,51,1,BB,1,0,-1,0,200.0,0,INTERNET,4.5120265005171705,other,0,1,0,7
3645,1,0.1,0.9880047107450473,-1,316,30,10.387120366631152,-0.7830482614304959,AB,2118,8080.335171917535,5600.230366526143,4912.433194750592,13,5,CA,194,1,BA,0,1,5,0,1000.0,0,INTERNET,13.3075557188089,windows,0,1,0,2
3656,1,0.2,0.512685301689545,-1,113,50,0.0023624401123612,-0.6946650726920669,AC,1298,7039.24853843748,5794.860270505847,4999.854500641654,0,0,CC,183,1,BA,1,0,-1,1,500.0,0,INTERNET,5.515901740283216,windows,0,1,0,3
3729,1,0.8,0.211872966266057,-1,108,50,0.0251912395366343,-1.9577820589323136,AD,698,6388.309379961923,4033.720797207445,4839.415933812972,12,3,CA,150,1,BB,1,0,1,0,2000.0,0,INTERNET,1.2688078962117748,windows,0,2,0,3
3813,1,0.3,0.7323060117299898,-1,59,40,1.583179015334041,-0.7377334704719523,AC,2635,9348.181325300096,6866.382246891621,5587.595054284627,0,10,CA,35,1,BC,0,1,-1,0,200.0,0,INTERNET,8.873268019547723,linux,1,1,0,2
3819,1,0.3,0.6138563085481926,-1,124,50,0.0100766230373554,-1.0664816986624002,AC,1052,4701.219973495887,3426.5537212684044,4353.551134020508,0,7,CA,241,1,BA,0,1,-1,0,1000.0,0,INTERNET,3.3312101056403303,other,1,1,0,5
4034,1,0.9,0.7629111858001171,-1,258,50,0.027042699894222,-0.3567155806131544,AC,1699,3288.6993463995286,6080.483784662288,4990.799942396444,0,1,CC,181,0,BA,0,1,-1,0,200.0,0,INTERNET,9.675277225919094,windows,0,1,0,3
4122,1,0.9,0.0710053035601331,-1,85,20,0.0229893824617927,-1.4844568633793678,AB,1781,1305.7305251030778,2649.0501258316767,6294.26556133693,12,8,CA,87,1,BA,1,0,31,0,500.0,1,INTERNET,9.812832938560788,windows,0,1,0,0
4236,1,0.7000000000000001,0.6575431802743175,-1,366,70,0.0359378462711398,-1.1864106586914362,AB,1225,3067.7606754105686,7413.481752810294,4773.194222966583,31,2,CC,284,0,BB,1,0,30,0,1500.0,1,INTERNET,19.439628875347253,macintosh,0,1,0,5
4244,1,0.2,0.128823668947985,-1,44,50,0.0119557829348335,-0.6288706527152297,AB,1364,5887.163836499908,4614.129081435583,5526.878324527382,13,3,CA,92,1,BE,0,1,30,0,200.0,0,INTERNET,27.03154962226285,linux,0,2,0,1
4395,1,0.6000000000000001,0.0784796857305148,-1,28,20,0.0188821564406724,-0.382426439193897,AD,960,12017.093835349202,7491.835730003167,5117.295853308316,5,15,CB,9,1,BB,0,1,30,0,200.0,0,INTERNET,11.036705226606148,windows,1,1,0,3
4487,1,0.9,0.0391917971619873,-1,47,60,0.0150800852080518,-1.5711315113136914,AB,4080,7368.697930648678,4960.17980640499,6006.526580921717,16,3,CA,211,1,BB,1,1,30,0,1500.0,0,INTERNET,1.7984853445833917,windows,0,1,0,0
4499,1,0.7000000000000001,0.2234355215312559,-1,35,50,0.0128733559940652,-0.6590014125827812,AB,1199,1085.259252442607,4130.291592333867,4160.948513385675,13,1,CA,128,1,BB,0,1,5,0,500.0,0,INTERNET,8.017609991924854,linux,1,1,0,0
4502,1,0.8,0.426269536589105,-1,95,40,0.0001058615667283,101.0431895310878,AA,1299,12258.241532586031,6059.596586134668,6646.624071029585,1,7,CA,142,1,BA,0,1,2,0,200.0,0,INTERNET,8.780821909436838,other,0,1,0,4
4611,1,0.1,0.463252160839753,-1,40,30,0.011482499118522,48.53854219060123,AA,967,2304.327183642689,2300.833059463565,4152.502595583032,3,7,CA,226,1,BA,0,1,20,0,200.0,0,INTERNET,7.243096234802199,windows,0,1,0,6
4640,1,0.8,0.0689358505325926,12,7,80,0.0027451220975627,-1.7492708713918128,AC,3360,3420.361344345599,4806.102810997993,4267.8177434261,0,2,CC,133,1,BC,0,1,31,0,200.0,0,INTERNET,0.6495607723298011,x11,0,2,0,5
4752,1,0.1,0.9234981079581698,-1,85,60,0.0145175529999803,-1.5902406230928852,AB,3949,7849.474222053833,5838.630639046007,4180.272331817822,2,1,CC,75,0,BC,1,1,25,0,200.0,0,INTERNET,1.797149301542586,windows,0,1,0,5
4838,1,0.8,0.3755736863410365,-1,315,30,0.0052057251682836,97.57688067928828,AA,2086,7050.976735547967,5911.619554154314,6020.509864825687,4,18,CA,164,0,BE,0,1,25,1,1500.0,0,INTERNET,5.8474609771402175,other,1,1,0,0
4982,1,0.2,0.6008955355596542,-1,120,30,0.0054992871131862,-0.6555819552619401,AB,1160,12441.752493170858,6639.330318898461,5326.35513750711,7,4,CA,205,1,BB,1,0,28,0,1500.0,0,INTERNET,7.501411900474503,windows,1,1,0,1
5132,1,0.7000000000000001,0.4896951260203792,-1,76,40,3.0379276696507853,-0.6954731063473614,AC,2338,5001.976369760443,5988.184385038167,5417.12618383082,0,13,CA,39,1,BC,0,1,-1,0,200.0,0,INTERNET,2.5176399241302416,windows,0,1,0,1
5320,1,0.9,0.4148321458283618,61,0,40,0.0048707275978175,-1.3127689974851189,AB,889,1007.959631631412,1940.2294844055216,3146.400727038232,10,3,CF,210,0,BA,0,1,28,0,1500.0,0,INTERNET,2.3187099789236334,windows,0,1,0,7
5381,1,0.6000000000000001,0.4754921962440731,-1,73,60,0.0322910739685232,-1.308078623556585,AB,490,3251.564209928135,6125.392267387239,3086.881869087312,9,5,CA,265,0,BB,0,1,28,0,1500.0,0,INTERNET,20.65323070131076,windows,1,1,0,7
5422,1,0.9,0.2308031524808405,-1,108,50,0.015267953988089,-1.1332679842654951,AB,1537,7938.00522760645,4993.83408960109,5481.1534191356095,11,2,CA,250,0,BA,1,1,-1,0,2000.0,0,INTERNET,2.378642452834459,windows,0,1,0,2
5435,1,0.9,0.8559975717475138,-1,151,40,0.0030895547388816,-0.770477402170948,AB,846,4741.954084756032,2979.44506058305,4021.236538306549,22,4,CA,340,0,BA,1,1,28,0,1500.0,0,INTERNET,2.8610581781189675,windows,1,1,0,6
5618,1,0.2,0.5351752144148509,-1,38,40,2.802082021124708,-1.314913907392172,AC,913,12885.480224175524,6158.156253410692,6698.033123655396,0,3,CC,28,0,BB,0,1,-1,0,200.0,0,INTERNET,7.0082575335471216,other,0,0,0,0
5681,1,0.9,0.2678938880983059,-1,105,30,0.0179893205725567,-1.0865694135400308,AC,2338,7875.958607755479,5854.827763479489,4951.487647656987,0,12,CA,176,1,BA,0,1,-1,0,1000.0,0,INTERNET,2.0515962213765166,windows,0,1,0,3
5703,1,0.8,0.0765775039715743,-1,268,60,0.0034233767046628,-0.9956542222178444,AB,5490,2852.857768927333,3425.528146067489,4316.569049242367,18,0,CA,129,1,BA,1,1,25,0,200.0,0,INTERNET,10.120323530797018,linux,0,1,0,6
5770,1,0.1,0.233071444553201,-1,70,20,20.83431429146704,-0.1609871165915832,AC,2596,2581.450197150893,5829.309969880166,5515.637242474631,0,12,CB,55,1,BE,0,1,-1,0,200.0,0,INTERNET,54.790368442436005,windows,1,1,0,1
5850,1,0.6000000000000001,0.1085561606513745,-1,63,30,0.0243325450198787,-1.7942776265542129,AB,2954,11064.352496601356,6968.057162237837,6708.823744123532,17,12,CB,83,1,BC,0,1,30,0,200.0,0,INTERNET,5.810241925312653,other,1,2,0,1
5900,1,0.6000000000000001,0.1751359435303673,-1,112,40,0.004106610541711,-1.4199620926856202,AC,944,1602.0290539683117,3362.5134179776783,3071.525615405841,1,3,CA,106,0,BA,1,1,-1,0,200.0,0,INTERNET,3.1721533881022905,windows,0,1,0,7
5925,1,0.8,0.8804479333982497,-1,258,50,0.0239350990767617,28.241729998230944,AA,2409,3129.555564086548,6094.307625006443,4811.998097020125,2,6,CA,163,1,BA,1,1,30,0,200.0,0,INTERNET,23.964390580267075,other,0,1,0,3
5948,1,0.8,0.5095520563562741,-1,71,20,0.0195709461190001,-1.3994443177909417,AD,1227,6888.712957901774,3843.810742864993,6708.234144854716,0,3,CA,94,0,BA,1,1,25,0,200.0,0,INTERNET,1.7176357310865036,other,0,1,0,4
6026,1,0.1,0.5988733150814832,-1,96,50,0.0332250146203194,-1.7978914888878412,AB,1167,5540.048426671392,4407.3860598726205,4250.0348542200845,19,11,CA,214,0,BA,0,1,1,0,2000.0,0,INTERNET,7.74941320226732,windows,0,1,0,5
6119,1,0.9,0.8029426092906037,-1,67,30,0.01146598520819,-0.531335927563794,AB,1109,3119.9565336453834,5318.031264310249,4289.895604913735,1,9,CA,131,1,BC,1,1,28,0,500.0,0,INTERNET,9.73953253468321,windows,0,1,0,5
6175,1,0.1,0.7080368805696929,-1,39,30,2.7310628367101306,-1.092962254516794,AD,1035,6971.762720519635,4926.846086931751,5621.167881807008,11,4,CA,29,1,BD,0,1,28,0,200.0,0,INTERNET,8.788106845518207,other,0,1,0,2
6230,1,0.8,0.8692820286201326,-1,115,60,0.0039074407452265,-0.1271636028011697,AC,1318,1896.1400856364344,4925.980992807045,5433.149929832571,12,3,CA,197,1,BA,0,1,-1,0,1500.0,0,INTERNET,10.507636673781697,windows,0,2,0,1
6239,1,0.9,0.0838638473002938,-1,243,50,0.0018086713078766,-0.7698306256135328,AB,1786,2024.035341185045,2043.6521344911969,3219.290931830459,3,6,CA,167,1,BB,1,1,20,0,500.0,0,INTERNET,3.336717861214357,macintosh,1,1,0,7
6271,1,0.8,0.2447572602330451,-1,184,20,0.0043420885870411,-0.9598029732618438,AB,1044,6225.359160079435,6388.565125853679,3767.917826596368,8,16,CA,189,1,BA,0,1,31,1,1500.0,0,INTERNET,3.830865953422917,other,1,1,0,4
6663,1,0.9,0.5372159547863347,-1,132,60,0.0046144390937253,-0.6814025224589606,AD,652,4255.94116516093,2804.6877244343373,3840.372629033512,8,3,CA,276,1,BA,0,1,1,1,1000.0,0,INTERNET,3.938226147253993,windows,0,1,0,6
6719,1,0.9,0.5226525070169207,-1,92,50,0.0035538242489702,-0.7746636767741857,AC,1784,5314.865931784785,4729.384921469182,4170.875023388587,2,2,CA,333,1,BA,0,1,-1,0,1500.0,0,INTERNET,13.884622450442633,windows,0,1,0,4
6771,1,0.9,0.2913458075275275,-1,81,60,0.0023047628104032,-1.2588295180079183,AC,752,1426.06591686024,3416.997724624708,3070.027989928189,0,5,CA,131,1,BA,1,1,-1,0,200.0,0,INTERNET,5.38526163226985,windows,0,1,0,7
6812,1,0.7000000000000001,0.5564473899935592,-1,3,50,1.3427769030896648,-1.0419879053353636,AC,1262,5843.049304602764,3333.511968452203,4639.030408489106,0,3,CA,199,0,BC,1,0,-1,1,1500.0,0,INTERNET,46.51567917163366,windows,0,2,0,4
6967,1,0.9,0.6288725682783125,-1,97,30,0.0172867867247015,-0.4811555874888052,AB,1631,5014.200271870222,3112.1395052948938,3374.241490867625,183,13,CA,84,0,BA,0,1,25,0,200.0,0,INTERNET,4.669704241844173,linux,1,1,0,5
6973,1,0.9,0.2023259578974395,-1,103,60,0.0044511260425391,-0.3470756111307823,AC,718,886.005637906602,2480.6519380201566,3128.279247128856,0,4,CA,138,1,BA,0,1,-1,0,200.0,0,INTERNET,6.95161169885688,windows,1,1,0,7
7050,1,0.6000000000000001,0.1243831900184054,-1,132,50,0.0068800688888266,-0.4851731864952896,AB,1073,7377.19166526227,5722.357520450938,6063.146097580431,17,5,CA,142,0,BB,0,1,30,0,200.0,0,INTERNET,3.94285486362034,other,0,1,0,0
7079,1,0.7000000000000001,0.9313067844795776,-1,145,40,0.028506487092705,-0.8731270926464383,AC,968,1460.2800333081068,4619.248298966088,5528.562794699666,1,3,CA,344,1,BA,1,1,-1,0,1500.0,0,INTERNET,3.945775640301047,windows,0,1,0,1
7112,1,0.9,0.4696651689186072,-1,85,30,2.7883866194749967,48.830809184495536,AA,1350,9169.724630214976,5628.275473850421,4867.027787994361,2,21,CA,259,0,BA,0,1,19,0,1500.0,0,INTERNET,4.866320346829693,linux,0,1,0,3
7159,1,0.1,0.7126867536847374,12,13,10,0.0193201127919281,-0.3090071471176386,AC,835,12481.331708190575,4160.224382989286,5115.647394825355,1,11,CA,84,1,BC,0,1,-1,0,200.0,0,INTERNET,26.27097304608056,windows,0,1,0,2
7160,1,0.4,0.4494599444059048,-1,157,50,2.455847324803881,-1.717642560896589,AC,1211,4251.025286198159,3880.7220746570174,4639.804815203062,0,3,CA,285,0,BC,1,0,-1,0,200.0,0,INTERNET,3.7607951118232417,linux,0,1,0,7
7211,1,0.6000000000000001,0.2503124128894262,-1,20,60,18.033905068288103,-0.6638851829668533,AB,1281,9096.23192792146,5510.1283124426745,4299.7688756433945,9,3,CA,68,1,BA,0,1,6,0,200.0,0,INTERNET,8.41896521019553,linux,0,1,0,5
7504,1,0.9,0.2501011775308285,-1,363,40,0.0004257517670321,-1.3036196126609092,AB,1203,1662.8581324517663,2029.802111611234,3109.970969307335,22,3,CC,206,1,BA,0,1,4,0,500.0,0,INTERNET,3.219967688153324,linux,0,1,0,7
7826,1,0.4,0.2965448292421615,-1,45,50,0.0068167181457751,-1.2982880204460203,AB,3107,2247.0938292387145,5183.372320765691,4261.739576979676,11,2,CA,132,0,BB,1,1,6,0,500.0,0,INTERNET,3.1766575403426005,other,1,1,0,6
8016,1,0.1,0.8422676517966894,-1,167,50,0.0172882482856064,52.28038146353312,AA,1816,4896.516275176905,5611.920416615089,5888.123151428138,526,2,CC,283,0,BA,0,1,25,0,1500.0,0,INTERNET,71.41097935922198,other,1,1,0,0
8146,1,0.9,0.297238939119086,-1,220,40,0.0112804221557054,-1.0083836084668305,AB,3060,5586.700874151415,5532.688519374937,4341.89577646189,1,7,CA,149,1,BA,1,1,1,0,200.0,0,INTERNET,1.6080352129255602,windows,1,1,0,6
8186,1,0.9,0.0690466881107447,-1,149,40,0.008860277776724,-0.6885887842171032,AC,1754,2325.6774982333,4845.85139862956,4724.079576758867,0,8,CA,155,0,BA,0,1,-1,0,1000.0,0,INTERNET,61.38428484259077,macintosh,1,1,0,4
8262,1,0.9,0.755065457900729,-1,47,60,0.0058565688291012,-0.9368308350807244,AB,639,631.4264718766757,3356.414850776692,6695.727911509994,17,1,CC,218,0,BB,1,1,5,0,500.0,0,INTERNET,8.065497905677285,windows,0,1,0,0
8388,1,0.5,0.7798570707131376,-1,34,30,0.0081183601978248,-0.6845245226285779,AC,2890,1595.2147775006454,6903.23822356641,5609.450899842488,1,8,CA,102,0,BC,0,1,-1,0,200.0,0,INTERNET,30.438170033541283,linux,1,1,0,2
